uid	senti_vec
1833443560	0.31 0.38 0.15 0.16
3935132645	0.32 0.42 0.06 0.19
1926617103	0.27 0.48 0.07 0.18
1821429387	0.28 0.53 0.07 0.12
3023514401	0.23 0.54 0.15 0.08
3121102625	0.32 0.4 0.15 0.13
1877808371	0.24 0.5 0.1 0.15
1304255884	0.08 0.69 0.11 0.11
2828851665	0.26 0.56 0.12 0.06
1653903985	0.19 0.57 0.07 0.17
1788527040	0.22 0.55 0.09 0.13
1412977460	0.29 0.39 0.11 0.21
5229877135	0.23 0.38 0.2 0.18
1496927971	0.15 0.69 0.04 0.12
2086681943	0.19 0.51 0.12 0.18
1765751620	0.34 0.34 0.11 0.21
2002159552	0.28 0.43 0.1 0.18
2190012840	0.31 0.47 0.09 0.13
2134491057	0.33 0.44 0.1 0.13
1426726542	0.31 0.54 0.06 0.09
1860373400	0.17 0.49 0.07 0.27
1696417654	0.28 0.5 0.09 0.13
2479261274	0.18 0.54 0.09 0.19
2241706733	0.21 0.6 0.1 0.1
1812528994	0.22 0.63 0.05 0.1
2079400807	0.29 0.45 0.14 0.12
2649887242	0.2 0.48 0.16 0.16
1748814383	0.33 0.46 0.11 0.09
1814697481	0.28 0.48 0.12 0.12
1822891460	0.23 0.5 0.1 0.16
1813175611	0.24 0.54 0.07 0.15
1035642554	0.23 0.57 0.07 0.13
2099308191	0.22 0.41 0.17 0.2
1308253001	0.18 0.5 0.17 0.14
1865594334	0.24 0.56 0.06 0.13
1899668745	0.35 0.36 0.08 0.21
2033860740	0.26 0.37 0.15 0.22
1733730524	0.29 0.48 0.13 0.09
2507995517	0.17 0.48 0.23 0.11
1239063381	0.21 0.54 0.08 0.17
1717093163	0.21 0.64 0.06 0.08
2012340391	0.35 0.44 0.06 0.15
5484143300	0.18 0.64 0.05 0.13
1976572582	0.28 0.48 0.09 0.16
3226518497	0.17 0.55 0.04 0.23
3262296980	0.15 0.75 0.04 0.06
5703954798	0.3 0.23 0.2 0.27
1829834504	0.21 0.57 0.07 0.15
2317446964	0.26 0.45 0.05 0.23
1619045451	0.23 0.46 0.11 0.2
1097366824	0.11 0.73 0.04 0.13
2690632527	0.23 0.53 0.09 0.15
3276411835	0.17 0.58 0.11 0.14
1092453812	0.23 0.64 0.05 0.08
1958993061	0.17 0.6 0.11 0.12
1937523587	0.23 0.48 0.15 0.15
2094422687	0.18 0.61 0.11 0.1
1803670584	0.16 0.54 0.08 0.22
2599263715	0.36 0.36 0.21 0.06
3547409742	0.08 0.83 0.04 0.05
2380509711	0.24 0.49 0.14 0.13
5192914710	0.16 0.68 0.05 0.11
2205052154	0.14 0.58 0.11 0.18
2622103763	0.18 0.63 0.07 0.12
3204507595	0.31 0.43 0.16 0.11
1839559451	0.25 0.48 0.12 0.15
1253769621	0.23 0.43 0.16 0.18
2012998150	0.3 0.4 0.12 0.18
1934598702	0.3 0.53 0.07 0.1
1931228721	0.19 0.7 0.07 0.04
2654329261	0.23 0.65 0.08 0.04
5461552864	0.28 0.52 0.1 0.1
5185974366	0.36 0.36 0.12 0.16
2296878435	0.3 0.39 0.14 0.18
1911531942	0.3 0.51 0.06 0.13
2516125790	0.15 0.65 0.07 0.13
1791845945	0.18 0.43 0.09 0.29
2351915982	0.13 0.69 0.07 0.12
1661298077	0.18 0.7 0.04 0.09
2107376882	0.27 0.53 0.07 0.12
3162363252	0.19 0.63 0.07 0.11
2011039995	0.17 0.67 0.06 0.1
1903186501	0.3 0.37 0.2 0.14
1372847283	0.28 0.42 0.13 0.17
2291174577	0.2 0.44 0.09 0.27
1409142214	0.19 0.63 0.06 0.12
1592414530	0.16 0.61 0.09 0.14
1841664181	0.26 0.54 0.1 0.1
2830474340	0.12 0.78 0.03 0.06
2282617614	0.15 0.58 0.07 0.2
1496947993	0.15 0.68 0.05 0.11
2095891557	0.2 0.59 0.06 0.15
2518956257	0.29 0.5 0.14 0.07
1892567175	0.21 0.57 0.07 0.15
1872758222	0.2 0.44 0.2 0.16
3799068667	0.17 0.54 0.13 0.15
1251322617	0.16 0.64 0.04 0.16
1857262170	0.06 0.82 0.06 0.06
1599282037	0.27 0.44 0.1 0.19
1434970421	0.21 0.48 0.11 0.2
1501464131	0.38 0.43 0.06 0.13
3218590805	0.25 0.5 0.1 0.15
2516541370	0.13 0.74 0.02 0.11
1162793424	0.21 0.5 0.15 0.13
2880455644	0.31 0.47 0.07 0.15
5335748461	0.26 0.49 0.16 0.08
2116626691	0.23 0.56 0.09 0.12
3229752852	0.11 0.61 0.14 0.14
2627742173	0.34 0.5 0.04 0.12
2352335392	0.31 0.46 0.09 0.15
2858240037	0.26 0.37 0.16 0.21
1744012074	0.27 0.44 0.13 0.16
1780149161	0.12 0.74 0.03 0.11
2172321182	0.22 0.55 0.06 0.18
1630260923	0.22 0.56 0.08 0.13
1775767311	0.24 0.46 0.13 0.17
1915409963	0.28 0.55 0.07 0.1
1088227897	0.12 0.7 0.06 0.12
1805537781	0.25 0.52 0.08 0.15
3920483070	0.21 0.58 0.06 0.15
1897681944	0.24 0.51 0.12 0.14
2559029862	0.4 0.41 0.08 0.1
1810549594	0.36 0.43 0.06 0.15
5237476723	0.12 0.49 0.04 0.35
2151827562	0.13 0.63 0.13 0.12
5406767780	0.25 0.54 0.13 0.08
2462523885	0.27 0.46 0.07 0.2
2017527284	0.36 0.34 0.11 0.19
1649760261	0.2 0.63 0.06 0.11
1781099947	0.15 0.6 0.11 0.14
2786038894	0.19 0.6 0.08 0.13
1591936192	0.26 0.46 0.12 0.15
2077267987	0.31 0.46 0.06 0.17
1802157720	0.31 0.49 0.07 0.13
1574706685	0.25 0.43 0.12 0.2
1854265897	0.28 0.42 0.16 0.15
1750857165	0.12 0.68 0.12 0.08
1642876203	0.25 0.51 0.1 0.14
3233036350	0.23 0.63 0.03 0.11
1821874124	0.24 0.45 0.13 0.18
1840469341	0.1 0.83 0.03 0.03
2128410297	0.23 0.44 0.16 0.17
1748407852	0.32 0.4 0.13 0.15
1686499404	0.14 0.48 0.13 0.24
2938916831	0.12 0.8 0.03 0.05
1239006111	0.25 0.33 0.18 0.24
1908511653	0.24 0.6 0.06 0.1
2428131887	0.29 0.61 0.05 0.06
1677265342	0.27 0.43 0.09 0.2
5540740485	0.27 0.6 0.07 0.05
2786630670	0.07 0.78 0.05 0.09
5498080450	0.09 0.71 0.02 0.18
1908133170	0.21 0.62 0.07 0.11
3148378803	0.21 0.59 0.03 0.17
1930572795	0.24 0.56 0.1 0.1
1012402523	0.29 0.51 0.05 0.15
1780296660	0.22 0.46 0.15 0.17
5087626799	0.05 0.9 0.01 0.03
3852171179	0.28 0.46 0.14 0.12
1770843250	0.26 0.53 0.07 0.15
1446950030	0.23 0.57 0.06 0.15
1404256493	0.33 0.35 0.06 0.26
1453245423	0.27 0.54 0.06 0.13
2874525782	0.1 0.84 0.03 0.03
1269436033	0.09 0.82 0.06 0.03
2325732652	0.27 0.43 0.12 0.18
1783685244	0.24 0.55 0.08 0.13
1437377865	0.3 0.35 0.13 0.22
1992130595	0.27 0.45 0.11 0.18
2011737275	0.31 0.4 0.15 0.14
3481963603	0.25 0.43 0.04 0.29
2089619137	0.25 0.52 0.1 0.13
5058420182	0.23 0.59 0.07 0.11
1658343317	0.17 0.76 0.02 0.05
1990997271	0.25 0.45 0.13 0.17
1431639865	0.31 0.51 0.03 0.14
1817149844	0.22 0.43 0.22 0.13
3252030855	0.2 0.57 0.13 0.11
2458866404	0.16 0.64 0.03 0.17
1709359405	0.21 0.67 0.06 0.06
5416627082	0.27 0.41 0.12 0.21
1685705621	0.21 0.54 0.15 0.09
2283597807	0.33 0.52 0.04 0.1
1494915512	0.23 0.45 0.12 0.19
3042603083	0.12 0.78 0.05 0.05
2523094504	0.09 0.74 0.12 0.05
2161613420	0.2 0.52 0.12 0.15
2315674942	0.18 0.58 0.11 0.13
2804457531	0.24 0.58 0.07 0.1
2026270735	0.19 0.51 0.14 0.16
2745512671	0.3 0.57 0.02 0.11
2822033071	0.4 0.28 0.24 0.08
2026258433	0.3 0.52 0.12 0.07
2336365901	0.14 0.68 0.07 0.11
1434562072	0.42 0.37 0.04 0.17
1863814493	0.22 0.53 0.11 0.14
2231100590	0.27 0.47 0.13 0.13
1738535743	0.19 0.65 0.06 0.09
1931617397	0.27 0.49 0.08 0.16
2112846790	0.27 0.61 0.05 0.08
1605310110	0.31 0.51 0.06 0.12
2708514777	0.35 0.46 0.06 0.13
2712171831	0.19 0.55 0.15 0.11
3149279294	0.26 0.48 0.1 0.15
3494700444	0.15 0.74 0.06 0.05
1913968142	0.28 0.53 0.08 0.11
1401411112	0.33 0.49 0.08 0.1
2634309130	0.27 0.48 0.08 0.17
2889179773	0.25 0.41 0.19 0.15
1645032570	0.24 0.46 0.1 0.2
2952728834	0.29 0.5 0.06 0.14
1542859065	0.37 0.37 0.06 0.2
1007833521	0.29 0.37 0.09 0.26
1965554895	0.26 0.51 0.11 0.12
1013109462	0.23 0.56 0.15 0.06
1768192883	0.18 0.57 0.13 0.12
2679085337	0.28 0.45 0.06 0.2
1831592237	0.26 0.52 0.08 0.14
2345253725	0.09 0.84 0.01 0.06
1163807233	0.23 0.52 0.05 0.2
2154771185	0.25 0.51 0.13 0.11
1170769212	0.17 0.42 0.25 0.16
2282923460	0.25 0.65 0.06 0.03
2322491282	0.21 0.54 0.14 0.11
